mean_response_time,time
1.393406,437142.47
1.4550092,438608.1
1.4627081,440081.4
1.3703061,441462.47
1.4781063,442951.16
1.3857056,444347.6
1.4088067,445767.1
1.4319069,447209.66
1.3164022,448536.9
1.4011037,449948.72
1.2393982,451199.1
1.3087015,452518.66
1.2625024,453792.1
1.4165055,455219.28
1.3472074,456577.28
1.4165071,458004.47
1.5397065,459554.66
1.3472029,460912.66
1.393406,462316.78
1.2856042,463613.28
1.4704096,465094.28
1.3857054,466490.72
1.5551136,468056.28
1.4319087,469498.84
1.3241029,470833.78
1.347206,472191.78
1.3934058,473595.9
1.455007,475061.53
1.3241011,476396.47
1.2548021,477662.22
1.508905,479181.66
1.3857051,480578.1
1.3241057,481913.03
1.4088073,483332.53
1.3010023,484644.4
1.3472041,486002.4
1.3241056,487337.34
1.1777986,488526.22
1.2779014,489815.03
1.4319087,491257.6
1.3703057,492638.66
1.2702003,493919.78
1.2394029,495170.16
1.2856035,496466.66
1.270204,497747.78
1.3780082,499136.53
1.2240057,500371.53
1.2625008,501644.97
1.3472037,503002.97
1.3549068,504368.66
1.247101,505626.72
1.3318045,506969.34
1.1854988,508165.9
1.5551085,509731.47
1.2394005,510981.84
1.1623987,512155.34
1.3934042,513559.47
1.3395045,514909.78
1.2548023,516175.53
1.1932013,517379.78
1.1546984,518545.6
1.2240006,519780.6
1.247103,521038.66
1.4319053,522481.22
1.200899,523693.16
1.2008988,524905.06
1.3087058,526224.6
1.2933035,527528.8
1.3395052,528879.1
1.3164041,530206.4
1.354904,531572.06
1.1932002,532776.3
1.3549048,534142
1.3934059,535546.1
1.354907,536911.8
1.1546966,538077.6
1.2162981,539304.94
1.3780055,540693.7
1.4627082,542167
1.2856026,543463.5
1.4319055,544906.06
1.1932019,546110.3
1.2470994,547368.4
1.3472058,548726.4
1.2548012,549992.1
1.2009002,551204.06
1.3010056,552515.94
1.285605,553812.44
1.2779012,555101.25
1.2779028,556390.06
1.277904,557678.9
1.3241063,559013.8
1.3318063,560356.44
1.3472055,561714.44
1.2625022,562987.9
1.2394023,564238.25
1.2317017,565480.94
1.3472058,566838.94
1.170098,568020.1
1.2779022,569308.94
1.239402,570559.3
1.3549055,571925
1.2779039,573213.8
1.2547994,574479.56
1.1315966,575622.3
1.2162997,576849.6
1.208597,578069.25
1.1392986,579219.7
1.2240005,580454.7
1.2394031,581705.06
1.1624001,582878.56
1.3934066,584282.7
1.1931993,585486.94
1.3164026,586814.2
1.2008958,588026.1
1.2548002,589291.9
1.3395017,590642.2
1.3703059,592023.25
1.208599,593242.9
1.239402,594493.25
1.2548051,595759
1.2393986,597009.4
1.154698,598175.2
1.0237913,599210.3
1.1700994,600391.5
1.2394024,601641.9
1.2163004,602869.2
1.3010054,604181.06
1.2240019,605416.06
1.2548013,606681.8
1.1469995,607839.94
1.2471024,609098
1.3934062,610502.1
1.2856015,611798.6
1.2394047,613049
1.3087021,614368.56
1.2933037,615672.75
1.2932991,616976.94
1.254802,618242.7
1.4473057,619700.6
1.2471014,620958.7
1.3010031,622270.56
1.2009019,623482.5
1.3780061,624871.25
1.3626039,626244.6
1.3241035,627579.56
1.3010039,628891.44
1.3087077,630211
1.285601,631507.5
1.2856014,632804
1.2548009,634069.75
1.2008989,635281.7
1.393403,636685.8
1.2471038,637943.9
1.4088038,639363.4
1.3010007,640675.25
1.4550059,642140.9
1.3626024,643514.25
1.3549061,644879.94
1.4011065,646291.75
1.1777991,647480.6
1.3395073,648830.94
1.354902,650196.6
1.293304,651500.8
1.277903,652789.6
1.162397,653963.1
1.3472054,655321.1
1.1469985,656479.25
1.4550077,657944.9
1.2779019,659233.7
1.3318055,660576.3
1.2086017,661795.94
1.2240009,663030.94
1.354905,664396.6
1.3857077,665793.06
1.2856033,667089.56
1.216299,668316.9
1.2702019,669598
1.1315974,670740.75
1.2470998,671998.8
1.0622934,673072.4
1.2470989,674330.44
1.3857061,675726.9
1.3318057,677069.5
1.1700999,678250.7
1.3626027,679624.06
1.1701007,680805.25
1.3472029,682163.25
1.1932008,683367.5
1.2625054,684640.94
1.0468948,685699.1
1.301001,687011
1.2856016,688307.5
1.2394031,689557.9
1.2779014,690846.7
1.2933024,692150.9
1.2933007,693455.06
1.4011024,694866.9
1.2471015,696124.94
1.285603,697421.44
1.1932017,698625.7
1.4165078,700052.9
1.2625028,701326.3
1.3010013,702638.2
1.2856017,703934.7
1.2240009,705169.7
1.2548013,706435.44
1.2625012,707708.9
1.4473077,709166.8
1.2085997,710386.44
1.370307,711767.5
1.4011068,713179.3
1.2394017,714429.7
1.2470986,715687.75
1.3395033,717038.06
1.1392978,718188.5
1.2163017,719415.8
1.2548003,720681.56
1.293303,721985.75
1.1700999,723166.94
1.3164041,724494.2
1.2702041,725775.3
